,user,location
0,bts_ilovely95,???
1,namukoree,
2,macamenchatnoir,En tu corazón bb
3,onlybtsonlyarmy,🇵🇪
4,skyler_wolff,🎇🐨Corazon💜De Kim Namjon✨🎆
5,carou_no,
6,yukirin6311936,
7,hereforyeontan,
8,beariee_,170809⋈ / 180807 ♡ / 181020 ♡
9,Djinniyah,"Toronto, Ontario"
10,v_rendez,
11,aga_tae,
12,Amiasurrant,
13,BTSbeingLegends,Germany
14,RonniCareFree,
15,o_yulit,
16,Mohi_bts,BTS WORLD🌌
17,JIMIN_UAE,United Arab Emirates
18,mekibts,
19,Fookin_Losaaah,Princess Park 
20,ChuluvT,el corazoncito de tae
21,flvffyjoon,holding yoongs’ hand
22,Capitao_Vante,"Paraná, Brasil"
23,BTSonyasty,
24,_pprksnw,Thailand
25,7BTSpop,Purpleblood
26,yewhobi,STREAM N !!
27,taesooeline,
28,Mdpakd1,
29,Yeon_mrV,magic shop
30,mooknamfon,김태형
31,DeylimarLoveBTS,
32,bts_leek,
33,marci_bts_2oo3,Peru
34,babyymochi_twt, 👉
35,Kenia_VBts,
36,pjbabymochi,
37,Ggukkvircuario,
38,99esther93,"Cataluña, España"
39,Dulce06895175,
40,i_army_triples,
41,daisymissyxx,In wonderland 🍭
42,Hobis_Hope94,"Colorado, USA"
43,ArmyChapin,Guatemala City 🇬🇹
44,ezzzy61,
45,AsihKth_,Taehyung heart♡
46,jingerbread_124,🐹🍡
47,ngelaPazAlvara1,
48,JOONTRYOSHKA,yongbok's freckles
49,Mohi_bts,BTS WORLD🌌
50,mochiimonii,
51,prod_jikook,Aash🤪 she/her | bisexual
52,Aliana10823094,
53,Beatriz82617994,
54,TsBpapi,
55,RomienSamantha,
56,CarmeenOo,"Nuevo León, México"
57,lgsjiyong,neocity°°°multifandom
58,SS_cheesecake,
59,WisoDdaeng,Morocco
60,mbeillard1,Académie de Versailes
61,Suni_Yon07,❤︎ ARMY ♥︎
62,xykx14,"Berlin, Deutschland"
63,Kimbora180605,ARMY House 
64,vmincharms,"Ot7, Magic Shop 💫💜 Ela/Dela"
65,Pissamaidu,
66,Kuchel3,
67,DeiverlynY,"Medellín, Colombia"
68,BangtanFC_97,
69,cantstop_jiming,"Chicago, IL"
70,made_by_irene,
71,RodasPuerto,
72,sarmyoongi,Brasil;
73,BtsHome389,United States
74,spasaal,
75,_joonb,"California, USA"
76,mix_korea_,blue side💙
77,Iwjprint,hidw.♥
78,reidunx,Y yo que sé
79,annajan37894803,
80,pandalovegood,
81,cozynamu,Bts concert 5/17/20
82,KNeinner,
83,May0414G,
84,himekaori1206,
85,kim_forever95,Junto a BANGTAN🖤
86,hyuhana,
87,srr_yumeme,そこ
88,jindereIla,134340 
89,gnuyHeaTmiK__,
90,ho2begae,
91,kook_DPtae,SO SPECIAL X THE GENRE IS BTS
92,vante4cd0,[Bangtan]  [ateez]
93,matwseok,Cheonglyong-gi
94,lightaekoo,🏠::   bts 
95,876_BTS,🇯🇲
96,taeliciousberry,
97,moonjinniee,seokjin's broad shoulders
98,onlybtsonlyarmy,🇵🇪
99,hereforyeontan,
100,BangtanFC_97,
101,BangtanFC_97,
102,rinsuke_0125,じーえぬ！ 
103,Mohi_bts,BTS WORLD🌌
104,Fookin_Losaaah,Princess Park 
105,00ooclock,
106,laulau_bts,"Lycée malherbe, caen"
107,Hoseoki84566861,
108,LeehSRosa,Brazil
109,gguk_bananamilk,HOPEWORLD
110,Sarahi38795382,
111,ngelaPazAlvara1,
112,divineseulgi, 🦙🦄  k-jams 🦙🦄 
113,Yeahh_BTS_UKnow,
114,lsgrlr,"New York, USA"
